"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Otu1448","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","f__Gemmataceae_unclassified","f__Gemmataceae_unclassified"
"Otu1449","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Isosphaeraceae","f__Isosphaeraceae_unclassified","f__Isosphaeraceae_unclassified"
"Otu1450","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1451","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1452","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1453","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","f__S24-7_unclassified","f__S24-7_unclassified"
"Otu1454","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified"
"Otu1455","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","f__S24-7_unclassified","f__S24-7_unclassified"
"Otu1456","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1457","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","f__S24-7_unclassified","f__S24-7_unclassified"
"Otu1458","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__fragilis"
"Otu1459","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified"
"Otu1460","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified"
"Otu1461","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1462","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","f__Porphyromonadaceae_unclassified","f__Porphyromonadaceae_unclassified"
"Otu1463","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1464","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified"
"Otu1465","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1466","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1467","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified"
"Otu1468","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified"
"Otu1469","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1470","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","f__S24-7_unclassified","f__S24-7_unclassified"
"Otu1471","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1472","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__stercorea"
"Otu1473","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified"
"Otu1474","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1475","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","f__S24-7_unclassified","f__S24-7_unclassified"
"Otu1476","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1477","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","f__Rikenellaceae_unclassified","f__Rikenellaceae_unclassified"
"Otu1478","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","f__S24-7_unclassified","f__S24-7_unclassified"
"Otu1479","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","f__S24-7_unclassified","f__S24-7_unclassified"
